,Test,Mean,Std,All,Units
0,"table/[100,4]/render",10.584211,3.211107,"17.00,9.00,9.05,8.83,9.04",ms
1,"table/[50,4]/render",1.606703,0.49146,"2.01,2.00,2.01,1.01,1.00",ms
2,"table/[100,2]/render",6.012726,0.012211,"6.01,6.00,6.01,6.00,6.04",ms
3,"table/[50,2]/render",1.008558,0.004316,"1.01,1.00,1.01,1.01,1.01",ms
4,"table/[100,4]/removeAll",1.404905,0.487538,"1.01,2.00,1.00,1.01,2.00",ms
5,"table/[50,4]/removeAll",1.004553,0.004607,"1.00,1.01,1.00,1.00,1.01",ms
6,"table/[100,2]/removeAll",1.20039,0.400362,"1.00,0.99,1.00,1.01,2.00",ms
7,"table/[50,2]/removeAll",1.004887,0.004239,"1.00,1.01,1.00,1.01,1.00",ms
8,"table/[100,4]/sort/0",12.605429,2.578212,"10.00,14.01,9.00,15.00,15.00",ms
9,"table/[100,2]/sort/0",8.228493,0.396346,"9.02,8.09,8.01,8.01,8.01",ms
10,"table/[50,4]/sort/0",7.206345,1.831721,"9.01,8.01,8.99,5.01,5.00",ms
11,"table/[50,2]/sort/0",4.803276,0.980326,"5.00,3.00,5.00,5.01,6.00",ms
12,"table/[100,4]/sort/1",10.006189,2.527945,"15.00,9.00,9.01,8.01,9.00",ms
13,"table/[100,2]/sort/1",8.008337,0.004772,"8.01,8.00,8.01,8.00,8.01",ms
14,"table/[50,4]/sort/1",5.807638,1.602298,"5.01,5.00,9.01,5.00,5.01",ms
15,"table/[50,2]/sort/1",5.001783,1.099427,"6.00,6.00,5.00,5.01,2.99",ms
16,"table/[100,4]/filter/32",4.197502,2.402834,"2.99,9.00,2.99,3.00,3.00",ms
17,"table/[50,4]/filter/32",2.637863,1.183114,"2.01,2.00,5.00,2.02,2.15",ms
18,"table/[100,2]/filter/32",3.819036,1.480692,"2.00,2.01,5.06,5.02,5.00",ms
19,"table/[50,2]/filter/32",1.806498,0.982395,"3.01,1.00,1.00,1.01,3.01",ms
20,"table/[100,4]/filter/16",4.204893,2.39878,"3.01,3.00,3.00,3.01,9.00",ms
21,"table/[50,4]/filter/16",3.234625,1.45215,"1.99,2.16,5.01,5.01,2.00",ms
22,"table/[100,2]/filter/16",2.613211,1.19968,"2.00,2.06,2.00,5.01,1.99",ms
23,"table/[50,2]/filter/16",1.804209,0.984747,"1.00,1.00,3.01,1.00,3.01",ms
24,"table/[100,4]/filter/8",4.012156,2.012114,"3.00,3.01,3.00,8.04,3.01",ms
25,"table/[50,4]/filter/8",2.610731,1.200973,"2.04,2.00,2.00,2.00,5.01",ms
26,"table/[100,2]/filter/8",2.60644,1.202448,"2.00,2.00,2.01,2.01,5.01",ms
27,"table/[50,2]/filter/8",2.60601,0.802932,"3.01,3.01,3.00,1.00,3.01",ms
28,"table/[100,4]/filter/4",3.805494,1.725062,"3.00,2.00,3.01,4.00,7.02",ms
29,"table/[50,4]/filter/4",2.006721,0.005031,"2.00,2.00,2.01,2.01,2.01",ms
30,"table/[100,2]/filter/4",2.206278,0.982358,"2.01,2.00,1.00,4.01,2.01",ms
31,"table/[50,2]/filter/4",2.610064,0.799704,"3.01,3.01,3.01,1.01,3.01",ms
32,"table/[100,4]/activate/32",4.423714,2.835706,"3.01,3.00,10.10,3.01,3.00",ms
33,"table/[50,4]/activate/32",2.731514,1.397304,"2.00,2.01,2.12,5.52,2.00",ms
34,"table/[100,2]/activate/32",3.97234,2.772191,"2.01,8.99,2.00,1.86,5.00",ms
35,"table/[50,2]/activate/32",1.801634,0.982378,"1.00,1.00,3.00,3.01,1.00",ms
36,"table/[100,4]/activate/16",4.205036,2.398471,"3.01,3.00,9.00,3.00,3.01",ms
37,"table/[50,4]/activate/16",3.601122,1.629,"2.00,2.99,5.00,6.01,2.00",ms
38,"table/[100,2]/activate/16",2.605247,1.203161,"2.00,2.00,2.00,5.01,2.01",ms
39,"table/[50,2]/activate/16",2.586317,1.381666,"4.00,3.01,4.01,0.90,1.01",ms
40,"table/[100,4]/activate/8",6.209707,4.11771,"3.01,3.02,13.01,3.00,9.00",ms
41,"table/[50,4]/activate/8",3.439283,1.719171,"2.01,2.17,5.00,6.01,2.00",ms
42,"table/[100,2]/activate/8",3.205347,1.470976,"2.00,2.01,2.00,5.00,5.01",ms
43,"table/[50,2]/activate/8",2.80838,0.983084,"4.01,1.00,3.01,3.01,3.01",ms
44,"table/[100,4]/activate/4",6.823206,3.108995,"10.00,3.00,3.08,9.00,9.03",ms
45,"table/[50,4]/activate/4",3.429937,1.729383,"6.01,2.00,5.01,2.01,2.12",ms
46,"table/[100,2]/activate/4",2.599382,1.201324,"1.99,5.00,2.00,2.00,2.00",ms
47,"table/[50,2]/activate/4",3.608942,0.488634,"4.01,4.00,3.01,3.01,4.01",ms
48,tree/[500]/render,1.994801,0.026525,"1.94,2.00,2.01,2.01,2.01",ms
49,"tree/[50,10]/render",10.877132,0.772949,"11.03,12.00,10.00,11.33,10.02",ms
50,"tree/[10,50]/render",3.391409,2.805919,"9.00,1.96,1.99,2.00,2.00",ms
51,"tree/[5,100]/render",9.217119,0.964494,"9.00,9.00,8.06,11.00,9.01",ms
52,"tree/[2,2,2,2,2,2,2,2,2,2]/render",8.004808,0.004008,"8.00,8.00,8.01,8.00,8.00",ms
53,tree/[500]/removeAll,1.999187,0.004158,"1.99,2.00,2.00,2.00,2.00",ms
54,"tree/[50,10]/removeAll",1.206064,0.396794,"1.00,1.01,1.01,1.01,2.00",ms
55,"tree/[10,50]/removeAll",1.805496,0.397577,"2.01,2.00,2.01,2.00,1.01",ms
56,"tree/[5,100]/removeAll",1.006889,0.004542,"1.00,1.00,1.01,1.01,1.01",ms
57,"tree/[2,2,2,2,2,2,2,2,2,2]/removeAll",6.056929,0.063044,"6.16,6.09,6.00,6.01,6.01",ms
58,tree/[500]/reverse,2.2048,0.40335,"2.01,2.00,3.01,2.00,2.00",ms
59,"tree/[50,10]/reverse",11.00812,0.896505,"11.00,10.00,12.01,10.01,12.01",ms
60,"tree/[10,50]/reverse",11.385298,2.292547,"10.00,11.00,10.01,10.00,15.90",ms
61,"tree/[5,100]/reverse",9.012842,0.000117,"9.01,9.01,9.01,9.01,9.01",ms
62,tree/[500]/[insertFirst(1)],9.024191,0.024061,"8.99,9.07,9.02,9.03,9.01",ms
63,"tree/[50,10]/[insertFirst(1)]",10.409546,0.489853,"10.00,10.01,11.02,11.00,10.01",ms
64,"tree/[10,50]/[insertFirst(1)]",10.168266,0.325607,"10.01,10.82,10.00,10.00,10.00",ms
65,"tree/[5,100]/[insertFirst(1)]",10.806656,0.402401,"11.01,11.00,10.00,11.01,11.00",ms
66,tree/[500]/[insertLast(1)],8.90255,0.904453,"10.47,8.01,8.00,9.02,9.01",ms
67,"tree/[50,10]/[insertLast(1)]",10.978746,1.119591,"13.00,11.00,9.87,10.01,11.00",ms
68,"tree/[10,50]/[insertLast(1)]",10.406876,0.798405,"10.00,12.00,10.01,10.00,10.01",ms
69,"tree/[5,100]/[insertLast(1)]",10.222292,0.396046,"11.01,10.06,10.01,10.01,10.01",ms
70,tree/[500]/[removeFirst(1)],9.004354,0.007339,"9.01,9.00,9.01,8.99,9.00",ms
71,"tree/[50,10]/[removeFirst(1)]",10.610914,0.801322,"10.01,12.01,11.01,10.00,10.01",ms
72,"tree/[10,50]/[removeFirst(1)]",9.110975,0.479318,"10.00,8.55,9.00,9.00,9.00",ms
73,"tree/[5,100]/[removeFirst(1)]",7.806253,0.396963,"8.00,8.00,8.00,7.01,8.01",ms
74,tree/[500]/[removeLast(1)],10.832453,2.744198,"9.02,13.00,15.12,9.00,8.01",ms
75,"tree/[50,10]/[removeLast(1)]",10.584736,0.749882,"11.87,10.00,10.02,10.01,11.01",ms
76,"tree/[10,50]/[removeLast(1)]",9.424019,0.790096,"9.00,9.05,11.00,9.00,9.06",ms
77,"tree/[5,100]/[removeLast(1)]",9.634733,2.706435,"8.12,15.00,8.04,9.01,8.01",ms
78,tree/[500]/[moveFromEndToStart(1)],8.810329,0.398674,"9.01,9.01,8.01,9.00,9.01",ms
79,"tree/[50,10]/[moveFromEndToStart(1)]",9.973526,0.073546,"9.83,10.01,10.01,10.01,10.00",ms
80,"tree/[10,50]/[moveFromEndToStart(1)]",9.806776,0.749079,"9.01,11.01,9.00,10.00,10.00",ms
81,"tree/[5,100]/[moveFromEndToStart(1)]",9.205866,0.398281,"9.00,9.01,9.01,9.00,10.00",ms
82,tree/[500]/[moveFromStartToEnd(1)],8.611059,0.493043,"9.01,8.01,9.03,8.00,9.00",ms
83,"tree/[50,10]/[moveFromStartToEnd(1)]",10.608912,0.800803,"10.00,10.01,11.00,10.01,12.01",ms
84,"tree/[10,50]/[moveFromStartToEnd(1)]",9.008169,0.004576,"9.00,9.01,9.01,9.01,9.00",ms
85,"tree/[5,100]/[moveFromStartToEnd(1)]",10.419512,2.802663,"9.02,9.01,9.02,9.01,16.02",ms
86,"tree/[10,10,10,10]/no_change/prerun",1.002789,0.003952,"1.00,1.00,1.00,1.00,1.01",ms
87,"tree/[10,10,10,10]/no_change",0.601625,0.491237,"1.00,1.00,0.00,0.00,1.01",ms
88,"tree/[2,2,2,2,2,2,2,2,2,2]/no_change/prerun",0.402212,0.492616,"0.00,1.00,0.00,1.01,0.00",ms
89,"tree/[2,2,2,2,2,2,2,2,2,2]/no_change",0.402641,0.493138,"0.00,0.00,1.00,0.00,1.01",ms
90,anim/100/32,1.006556,0.004791,"1.01,1.00,1.01,1.01,1.00",ms
91,anim/100/16,2.08559,0.160667,"2.41,2.00,2.01,2.01,2.00",ms
92,anim/100/8,2.004862,0.007675,"2.01,2.00,1.99,2.01,2.01",ms
93,anim/100/4,2.002144,0.006923,"1.99,2.00,2.01,2.01,2.00",ms
94,anim/finalize,0.31848,0.412817,"0.00,1.01,0.00,0.00,0.58",ms
